CHR,POS1,POS2,N_INDV,R^2
NC_035780.1,6042365,6042865,90,0.554447
NC_035780.1,6043336,6043836,90,0.148443
NC_035780.1,6043357,6043857,90,0.0568325
NC_035780.1,6043834,6044334,90,0.256243
NC_035780.1,6044556,6045056,90,0.117369
NC_035780.1,6076485,6076985,90,0.226896
NC_035780.1,6084334,6084834,90,0.0598063
NC_035780.1,6096244,6096744,90,0.473709
NC_035780.1,6097752,6098252,90,0.00352698
NC_035780.1,6100264,6100764,90,0.0559848
NC_035780.1,6102368,6102868,90,0.1333
NC_035780.1,6106218,6106718,90,0.0148063
NC_035780.1,6106516,6107016,90,0.934877
NC_035780.1,6126691,6127191,90,0.930144
NC_035780.1,6128172,6128672,90,0.00967922
NC_035780.1,6130113,6130613,90,0.000226193
NC_035780.1,6130992,6131492,90,0.00423557
NC_035780.1,6131027,6131527,90,0
NC_035780.1,6131030,6131530,90,0.00856625
NC_035780.1,6131172,6131672,90,0.0260468
NC_035780.1,6131530,6132030,90,0.0171703
NC_035780.1,6132249,6132749,90,0.0142205
NC_035780.1,6132262,6132762,90,0.273504
NC_035780.1,6132297,6132797,90,0.0176152
NC_035780.1,6132354,6132854,90,0.0160874
NC_035780.1,6132977,6133477,90,0.235577
NC_035780.1,6133116,6133616,90,0.000105921
NC_035780.1,6133535,6134035,90,0.00597623
NC_035780.1,6133866,6134366,90,0.00254043
NC_035780.1,6140388,6140888,90,0.001443
NC_035780.1,6154913,6155413,90,0.1662
NC_035780.1,6167689,6168189,90,0.581936
NC_035780.1,6170674,6171174,90,0.0118037
NC_035780.1,6182480,6182980,90,0.0293152
NC_035780.1,6182490,6182990,90,0.0429138
NC_035780.1,6231477,6231977,90,0.0128242
NC_035780.1,6233379,6233879,90,0.00790905
NC_035780.1,6255321,6255821,90,0.00988642
NC_035780.1,6255463,6255963,90,0.0925112
NC_035780.1,6331264,6331764,90,0.0367206
NC_035780.1,6331986,6332486,90,0.0606195
NC_035780.1,6332923,6333423,90,0.122723
NC_035780.1,6333255,6333755,90,0.0311394
NC_035780.1,6334247,6334747,90,0.167531
NC_035780.1,6336650,6337150,90,0.449443
NC_035780.1,6336987,6337487,90,0.000764965
NC_035780.1,6337150,6337650,90,0.579481
NC_035780.1,6338473,6338973,90,0.0293255
NC_035780.1,6341055,6341555,90,0.0864848
NC_035780.1,6342258,6342758,90,0.100188
NC_035780.1,6342764,6343264,90,0.82379
NC_035780.1,6347457,6347957,90,0.00130856
NC_035780.1,6347464,6347964,90,0.184075
NC_035780.1,6349968,6350468,90,0.0850956
NC_035780.1,6351901,6352401,90,0.0295966
NC_035780.1,6352537,6353037,90,0.00969648
NC_035780.1,6354265,6354765,90,0.0239486
NC_035780.1,6354764,6355264,90,0.0327952
NC_035780.1,6363819,6364319,90,0.0208599
NC_035780.1,6366391,6366891,90,0.0413401
NC_035780.1,6367577,6368077,90,0.00692641
NC_035780.1,6368077,6368577,90,0.00680967
NC_035780.1,6375306,6375806,90,0.052056
NC_035780.1,6375719,6376219,90,0.000913659
NC_035780.1,6376332,6376832,90,0.0390238
NC_035780.1,6376765,6377265,90,0.00362319
NC_035780.1,6393861,6394361,90,0.162994
NC_035780.1,6395676,6396176,90,0.582816
NC_035780.1,6395725,6396225,90,0.00278455
NC_035780.1,6396302,6396802,90,0.00473965
NC_035780.1,6397539,6398039,90,0.331602
NC_035780.1,6398278,6398778,90,0.00320818
NC_035780.1,6400608,6401108,90,0.517281
NC_035780.1,6401108,6401608,90,0.00202245
NC_035780.1,6401298,6401798,90,0.0542605
NC_035780.1,6409331,6409831,90,2.55E-05
NC_035780.1,6409879,6410379,90,0.00267511
NC_035780.1,6412816,6413316,90,0.0100094
NC_035780.1,6420104,6420604,90,0.0127186
NC_035780.1,6423314,6423814,90,0.024007
NC_035780.1,6423886,6424386,90,0.00458844
NC_035780.1,6431470,6431970,90,0.25945
NC_035780.1,6435734,6436234,90,0.172358
NC_035780.1,6437642,6438142,90,0.00436684
NC_035780.1,6449404,6449904,90,0.471769
NC_035780.1,6449820,6450320,90,0.243149
NC_035780.1,6449850,6450350,90,0.103288
NC_035780.1,6462549,6463049,90,0.0258321
NC_035780.1,6462981,6463481,90,0.0129199
NC_035780.1,6463821,6464321,90,0.0826949
NC_035780.1,6465435,6465935,90,0.0707034
NC_035780.1,6467133,6467633,90,0.0192821
NC_035780.1,6467164,6467664,90,0.162234
NC_035780.1,6473118,6473618,90,0.219324
NC_035780.1,6473468,6473968,90,0.65467
NC_035780.1,6473581,6474081,90,0.0103615
NC_035780.1,6474299,6474799,90,0.33271
NC_035780.1,6477888,6478388,90,0.0337436
NC_035780.1,6484647,6485147,90,0.000431258
NC_035780.1,6485335,6485835,90,0.595318
NC_035780.1,6485825,6486325,90,0.0542434
NC_035780.1,6488620,6489120,90,0.000949148
NC_035780.1,6513348,6513848,90,0.0662083
NC_035780.1,6514301,6514801,90,4.35E-05
NC_035780.1,6514396,6514896,90,0.00159324
NC_035780.1,6514464,6514964,90,0.0166667
NC_035780.1,6516479,6516979,90,0.153534
NC_035780.1,6516480,6516980,90,0.839569
NC_035780.1,6517207,6517707,90,0.906049
NC_035780.1,6518888,6519388,90,0.220845
NC_035780.1,6518897,6519397,90,0.0353779
NC_035780.1,6519117,6519617,90,0.144659
NC_035780.1,6519906,6520406,90,0.0622843
NC_035780.1,6525394,6525894,90,0.0538378
NC_035780.1,6525470,6525970,90,0.00462535
NC_035780.1,6525903,6526403,90,0.015813
NC_035780.1,6530915,6531415,90,0.16151
NC_035780.1,6535835,6536335,90,0.0804477
